corp_cls,corp_code,corp_name,stock_code,report_nm,rcept_no,flr_nm,rcept_dt,rm
KOSDAQ,00587925,모아라이프플러스,142760,주요사항보고서(전환사채권발행결정),20231229000594,모아라이프플러스,20240102,
KOSPI,00126566,한화에어로스페이스,012450,주식등의대량보유상황보고서(약식),20240102000008,OrbisInvestmentManagementLimited,20240102,
KOSPI,00160047,한국앤컴퍼니,000240,주식등의대량보유상황보고서(일반),20240102000010,벤튜라,20240102,
KOSPI,00160047,한국앤컴퍼니,000240,주식등의대량보유상황보고서(일반),20240102000012,조현식,20240102,
KOSPI,00145109,유한양행,000100,임원ㆍ주요주주특정증권등소유상황보고서,20240102000016,이정희,20240102,
KOSDAQ,00442570,제우스,079370,주요사항보고서(무상증자결정),20240102000018,제우스,20240102,
KOSPI,00111722,미래에셋증권,006800,독립이사의선임ㆍ해임또는중도퇴임에관한신고,20240102000021,미래에셋증권,20240102,
KOSPI,00120182,NH투자증권,005940,증권발행실적보고서,20240102000022,NH투자증권,20240102,
KOSPI,01390344,HD현대중공업,329180,임원ㆍ주요주주특정증권등소유상황보고서,20240102000023,한범우,20240102,
KOSDAQ,00201432,비츠로시스,054220,합병등종료보고서(합병),20240102000027,비츠로시스,20240102,
KOSDAQ,01030503,우진엔텍,457550,[기재정정]증권신고서(지분증권),20240102000037,우진엔텍,20240102,정
KOSPI,00122551,백산,035150,임원ㆍ주요주주특정증권등소유상황보고서,20240102000038,조윤영,20240102,
KOSDAQ,00346911,아이톡시,052770,[기재정정]주요사항보고서(유상증자결정),20240102000039,아이톡시,20240102,정
KOSDAQ,00556907,에이스테크,088800,주식등의대량보유상황보고서(일반),20240102000044,엔브이글로벌코리아메자닌사모투자,20240102,
KOSDAQ,00346911,아이톡시,052770,[기재정정]소액공모공시서류(지분증권),20240102000045,아이톡시,20240102,정
KOSPI,00107987,남해화학,025860,특수관계인으로부터자금차입,20240102000046,남해화학,20240102,공
KOSDAQ,00346911,아이톡시,052770,[기재정정]소액공모실적보고서,20240102000047,아이톡시,20240102,정
KOSDAQ,01217014,트윔,290090,신탁계약해지결과보고서,20240102000051,트윔,20240102,
KOSPI,00382199,신한지주,055550,임원ㆍ주요주주특정증권등소유상황보고서,20240102000058,장동기,20240102,
KOSPI,00382199,신한지주,055550,임원ㆍ주요주주특정증권등소유상황보고서,20240102000059,안준식,20240102,
KOSPI,00143262,우진아이엔에스,010400,임원ㆍ주요주주특정증권등소유상황보고서,20240102000060,손광근,20240102,
KOSPI,00143262,우진아이엔에스,010400,임원ㆍ주요주주특정증권등소유상황보고서,20240102000061,소군호,20240102,
KOSPI,00143262,우진아이엔에스,010400,임원ㆍ주요주주특정증권등소유상황보고서,20240102000062,김호윤,20240102,
KOSPI,00143262,우진아이엔에스,010400,임원ㆍ주요주주특정증권등소유상황보고서,20240102000064,김철순,20240102,
KOSPI,00382199,신한지주,055550,임원ㆍ주요주주특정증권등소유상황보고서,20240102000066,김성주,20240102,
KOSPI,00382199,신한지주,055550,임원ㆍ주요주주특정증권등소유상황보고서,20240102000068,이태경,20240102,
KOSDAQ,00201432,비츠로시스,054220,합병등종료보고서(자산양수도),20240102000070,비츠로시스,20240102,
KOSPI,00382199,신한지주,055550,임원ㆍ주요주주특정증권등소유상황보고서,20240102000071,김명희,20240102,
KOSDAQ,00925587,위드텍,348350,주식등의대량보유상황보고서(일반),20240102000074,유승교,20240102,
KOSDAQ,00925587,위드텍,348350,임원ㆍ주요주주특정증권등소유상황보고서,20240102000075,김동철,20240102,
KOSDAQ,01068737,에이치피오,357230,자기주식처분결과보고서,20240102000082,에이치피오,20240102,
KOSPI,01437292,미래에셋맵스리츠,357250,임원ㆍ주요주주특정증권등소유상황보고서,20240102000083,미래에셋자산운용,20240102,
KOSDAQ,01068737,에이치피오,357230,임원ㆍ주요주주특정증권등소유상황보고서,20240102000084,이현용,20240102,
KOSPI,00139454,애경산업,018250,임원ㆍ주요주주특정증권등소유상황보고서,20240102000085,오윤재,20240102,
KOSDAQ,01068737,에이치피오,357230,임원ㆍ주요주주특정증권등소유상황보고서,20240102000088,윤연정,20240102,
KOSPI,00137997,현대차증권,001500,증권발행실적보고서,20240102000092,현대차증권,20240102,
KOSDAQ,01068737,에이치피오,357230,임원ㆍ주요주주특정증권등소유상황보고서,20240102000094,오승찬,20240102,
KOSDAQ,01068737,에이치피오,357230,임원ㆍ주요주주특정증권등소유상황보고서,20240102000096,김명선,20240102,
KOSDAQ,00877174,엠브레인,169330,주식등의대량보유상황보고서(일반),20240102000099,"MACROMILL,INC.",20240102,
KOSDAQ,00250614,삼영엠텍,054540,주식등의대량보유상황보고서(일반),20240102000102,전창옥,20240102,
KOSDAQ,00688358,하이즈항공,221840,임원ㆍ주요주주특정증권등소유상황보고서,20240102000108,김대연,20240102,
KOSDAQ,01454341,플래티어,367000,임원ㆍ주요주주특정증권등소유상황보고서,20240102000113,이봉교,20240102,
KOSDAQ,01497124,캡스톤파트너스,452300,임원ㆍ주요주주특정증권등소유상황보고서,20240102000120,다산벤처스,20240102,
KOSDAQ,00409371,인베니아,079950,합병등종료보고서(합병),20240102000123,인베니아,20240102,
KOSDAQ,00688358,하이즈항공,221840,주식등의대량보유상황보고서(일반),20240102000125,하상헌,20240102,
KOSPI,00120182,NH투자증권,005940,임원ㆍ주요주주특정증권등소유상황보고서,20240102000134,권순호,20240102,
KOSPI,00120182,NH투자증권,005940,임원ㆍ주요주주특정증권등소유상황보고서,20240102000137,최승호,20240102,
