ticker,name,market,first_date,last_date,last_year
000685,LS네트웍스우,KOSPI,2014-01-02,2014-07-01,2014
001300,제일모직,KOSPI,2014-01-02,2014-07-01,2014
002365,SH에너지화학우,KOSPI,2014-01-02,2014-07-01,2014
002530,벽산건설,KOSPI,2014-01-02,2014-04-01,2014
002535,벽산건설우,KOSPI,2014-01-02,2014-04-01,2014
002797,아모레G2우B,KOSPI,2014-01-02,2014-07-01,2014
003417,쌍용양회2우B,KOSPI,2014-01-02,2014-01-02,2014
00341A,쌍용양회4우B,KOSPI,2014-01-02,2014-01-02,2014
00341D,쌍용양회5우B,KOSPI,2014-01-02,2014-01-02,2014
003965,사조대림우,KOSPI,2014-01-02,2014-07-01,2014
004790,렉스엘이앤지,KOSDAQ,2014-01-02,2014-03-03,2014
004965,한신공영우,KOSPI,2014-01-02,2014-07-01,2014
005560,JS전선,KOSPI,2014-01-02,2014-04-01,2014
005900,동양건설,KOSPI,2014-01-02,2014-04-01,2014
006375,대구백화우,KOSPI,2014-01-02,2014-07-01,2014
007195,한솔아트원제지우,KOSPI,2014-01-02,2014-07-01,2014
008720,삼양엔텍,KOSPI,2014-01-02,2014-07-01,2014
008975,동양철관우,KOSPI,2014-01-02,2014-07-01,2014
010460,화인자산관리,KOSPI,2014-01-02,2014-04-01,2014
010670,나노트로닉스,KOSDAQ,2014-01-02,2014-04-01,2014
012650,쌍용건설,KOSDAQ,2014-01-02,2014-04-01,2014
012805,대창우,KOSPI,2014-01-02,2014-01-02,2014
013005,세우글로벌우,KOSPI,2014-01-02,2014-07-01,2014
013340,AJS,KOSDAQ,2014-01-02,2014-07-01,2014
028305,에이치엘비우,KOSDAQ,2014-01-02,2014-01-02,2014
036210,태산엘시디,KOSDAQ,2014-01-02,2014-04-01,2014
041060,아라온테크,KOSDAQ,2014-01-02,2014-05-02,2014
046400,디브이에스,KOSDAQ,2014-01-02,2014-07-01,2014
053000,우리금융,KOSPI,2014-01-02,2014-07-01,2014
053320,테라리소스,KOSDAQ,2014-01-02,2014-02-03,2014
056340,CU전자,KOSDAQ,2014-01-02,2014-05-02,2014
067250,STX조선해양,KOSPI,2014-01-02,2014-04-01,2014
070480,에버테크노,KOSDAQ,2014-01-02,2014-07-01,2014
074000,엠텍비젼,KOSDAQ,2014-01-02,2014-03-03,2014
080180,아시아1호,KOSPI,2014-01-02,2014-07-01,2014
080960,동북아3호,KOSPI,2014-01-02,2014-02-03,2014
080970,동북아4호,KOSPI,2014-01-02,2014-02-03,2014
080980,동북아5호,KOSPI,2014-01-02,2014-04-01,2014
081190,아시아2호,KOSPI,2014-01-02,2014-07-01,2014
081200,아시아3호,KOSPI,2014-01-02,2014-07-01,2014
081220,세미텍,KOSDAQ,2014-01-02,2014-02-03,2014
082930,실리콘화일,KOSDAQ,2014-01-02,2014-05-02,2014
101990,파브코,KOSPI,2014-01-02,2014-05-02,2014
110310,모린스,KOSDAQ,2014-01-02,2014-04-01,2014
110500,유니드코리아,KOSDAQ,2014-01-02,2014-07-01,2014
119250,에프지엔개발리츠,KOSPI,2014-01-02,2014-07-01,2014
000360,삼환기업,KOSPI,2014-01-02,2015-04-01,2015
000365,삼환기업우,KOSPI,2014-01-02,2015-04-01,2015
000420,로케트전기,KOSPI,2014-01-02,2015-02-02,2015
000425,로케트전우,KOSPI,2014-01-02,2015-02-02,2015
000687,LS네트웍스전환상환2우B,KOSPI,2014-01-02,2015-11-02,2015
000800,경남기업,KOSPI,2014-01-02,2015-04-01,2015
000830,삼성물산,KOSPI,2014-01-02,2015-09-01,2015
000835,삼성물산우,KOSPI,2014-01-02,2015-09-01,2015
000895,보해양조우,KOSPI,2014-01-02,2015-07-01,2015
000997,동부하이텍2우B,KOSPI,2014-01-02,2015-07-01,2015
003457,현대증권2우B,KOSPI,2014-01-02,2015-01-02,2015
003600,SK,KOSPI,2014-01-02,2015-08-03,2015
003605,SK우,KOSPI,2014-01-02,2015-08-03,2015
003640,유니온스틸,KOSPI,2014-01-02,2015-01-02,2015
004320,울트라건설,KOSDAQ,2014-01-02,2015-04-01,2015
004325,울트라건설우,KOSDAQ,2014-01-02,2015-04-01,2015
004367,세방2우B,KOSPI,2014-01-02,2015-04-01,2015
008705,아남전자우,KOSPI,2014-01-02,2015-07-01,2015
010520,현대하이스코,KOSPI,2014-01-02,2015-07-01,2015
012335,현대모비스우,KOSPI,2014-01-02,2015-01-02,2015
013450,동성하이켐,KOSDAQ,2014-01-02,2015-07-01,2015
014350,신일건업,KOSPI,2014-01-02,2015-04-01,2015
016420,NH농협증권,KOSPI,2014-01-02,2015-01-02,2015
032420,터보테크,KOSDAQ,2014-01-02,2015-01-02,2015
033630,SK브로드밴드,KOSDAQ,2014-01-02,2015-06-01,2015
039530,씨앤케이인터,KOSDAQ,2014-01-02,2015-05-04,2015
039850,태창파로스,KOSDAQ,2014-01-02,2015-05-04,2015
040670,와이즈파워,KOSDAQ,2014-01-02,2015-07-01,2015
053330,영진코퍼레이션,KOSDAQ,2014-01-02,2015-04-01,2015
053595,한국테크놀로지우,KOSDAQ,2014-01-02,2015-07-01,2015
053740,국제엘렉트릭,KOSDAQ,2014-01-02,2015-02-02,2015
053870,GT&T,KOSDAQ,2014-01-02,2015-10-01,2015
065180,해피드림,KOSDAQ,2014-01-02,2015-04-01,2015
066350,티에스엠텍,KOSDAQ,2014-01-02,2015-05-04,2015
068060,KCW,KOSDAQ,2014-01-02,2015-09-01,2015
071930,에이스하이텍,KOSDAQ,2014-01-02,2015-07-01,2015
074130,디아이디,KOSDAQ,2014-01-02,2015-07-01,2015
081210,아시아4호,KOSPI,2014-01-02,2015-01-02,2015
081930,아시아8호,KOSPI,2014-01-02,2015-02-02,2015
081940,아시아9호,KOSPI,2014-01-02,2015-01-02,2015
082240,아시아5호,KOSPI,2014-01-02,2015-03-02,2015
082250,아시아6호,KOSPI,2014-01-02,2015-03-02,2015
082260,아시아7호,KOSPI,2014-01-02,2015-03-02,2015
090120,잘만테크,KOSDAQ,2014-01-02,2015-05-04,2015
090540,코크렙8호,KOSPI,2014-01-02,2015-01-02,2015
091690,디지텍시스템,KOSDAQ,2014-01-02,2015-01-02,2015
121550,코크렙15호,KOSPI,2014-01-02,2015-10-01,2015
138440,이코리아리츠,KOSPI,2014-01-02,2015-09-01,2015
149130,케이비부국위탁리츠,KOSPI,2014-01-02,2015-02-02,2015
192520,경남은행,KOSPI,2014-06-02,2015-06-01,2015
