date,ticker,p,rank,train_cutoff
2026-09-21,019210,0.08178907,1,2025-11-27
2026-09-21,475830,0.06663149,2,2025-11-27
2026-09-21,491000,0.06389122,3,2025-11-27
2026-09-21,174900,0.06350898,4,2025-11-27
2026-09-21,011070,0.06093333,5,2025-11-27
2026-09-21,004170,0.05826584,6,2025-11-27
2026-09-21,281740,0.04701209,7,2025-11-27
2026-09-21,145020,0.04667005,8,2025-11-27
2026-09-21,001740,0.04660756,9,2025-11-27
2026-09-21,012330,0.04641773,10,2025-11-27
2026-09-21,476830,0.04371256,11,2025-11-27
2026-09-21,010060,0.04107409,12,2025-11-27
2026-09-21,017800,0.04096750,13,2025-11-27
2026-09-21,290650,0.03980243,14,2025-11-27
2026-09-21,213420,0.03968765,15,2025-11-27
2026-09-21,032350,0.03945211,16,2025-11-27
2026-09-21,181710,0.03828646,17,2025-11-27
2026-09-21,237690,0.03754482,18,2025-11-27
2026-09-21,041830,0.03710898,19,2025-11-27
2026-09-21,006800,0.03645197,20,2025-11-27
2026-09-21,111770,0.03572310,21,2025-11-27
2026-09-21,298380,0.03488978,22,2025-11-27
2026-09-21,178320,0.03292025,23,2025-11-27
2026-09-21,069960,0.03233373,24,2025-11-27
2026-09-21,214150,0.03228838,25,2025-11-27
2026-09-21,017960,0.03205176,26,2025-11-27
2026-09-21,035900,0.03174090,27,2025-11-27
2026-09-21,011210,0.03093557,28,2025-11-27
2026-09-21,0126Z0,0.03033722,29,2025-11-27
2026-09-21,036460,0.02987392,30,2025-11-27
2026-09-21,077970,0.02967122,31,2025-11-27
2026-09-21,347850,0.02842558,32,2025-11-27
2026-09-21,456160,0.02696649,33,2025-11-27
2026-09-21,064400,0.02514708,34,2025-11-27
2026-09-21,089970,0.02407154,35,2025-11-27
2026-09-21,036540,0.02391272,36,2025-11-27
2026-09-21,397030,0.02339022,37,2025-11-27
2026-09-21,322000,0.02318054,38,2025-11-27
2026-09-21,196170,0.02304658,39,2025-11-27
2026-09-21,005380,0.02301613,40,2025-11-27
2026-09-21,005950,0.02298754,41,2025-11-27
2026-09-21,140860,0.02238874,42,2025-11-27
2026-09-21,195940,0.02219972,43,2025-11-27
2026-09-21,090710,0.02196880,44,2025-11-27
2026-09-21,009830,0.02153599,45,2025-11-27
2026-09-21,458870,0.02142271,46,2025-11-27
2026-09-21,033160,0.02135653,47,2025-11-27
2026-09-21,137400,0.02132344,48,2025-11-27
2026-09-21,489790,0.02121253,49,2025-11-27
2026-09-21,018880,0.02041767,50,2025-11-27
2026-09-21,008770,0.02020295,51,2025-11-27
2026-09-21,139480,0.02002310,52,2025-11-27
2026-09-21,450080,0.01967843,53,2025-11-27
2026-09-21,377300,0.01965757,54,2025-11-27
2026-09-21,006650,0.01929714,55,2025-11-27
2026-09-21,007070,0.01921733,56,2025-11-27
2026-09-21,011780,0.01853739,57,2025-11-27
2026-09-21,096530,0.01780924,58,2025-11-27
2026-09-21,083450,0.01779393,59,2025-11-27
2026-09-21,030000,0.01722118,60,2025-11-27
2026-09-21,007390,0.01718067,61,2025-11-27
2026-09-21,466100,0.01688959,62,2025-11-27
2026-09-21,014680,0.01655869,63,2025-11-27
2026-09-21,108320,0.01547604,64,2025-11-27
2026-09-21,353200,0.01528394,65,2025-11-27
2026-09-21,009540,0.01494740,66,2025-11-27
