date,ticker,name,p,rank,train_cutoff
2026-09-23,475830,오름테라퓨틱,0.08347109,1,2025-11-27
2026-09-23,019210,와이지-원,0.07987599,2,2025-11-27
2026-09-23,491000,리브스메드,0.07739658,3,2025-11-27
2026-09-23,476830,알지노믹스,0.06983509,4,2025-11-27
2026-09-23,145020,휴젤,0.06339550,5,2025-11-27
2026-09-23,004170,신세계,0.06168757,6,2025-11-27
2026-09-23,281740,레이크머티리얼즈,0.05395084,7,2025-11-27
2026-09-23,028300,HLB,0.04953270,8,2025-11-27
2026-09-23,237690,에스티팜,0.04767373,9,2025-11-27
2026-09-23,001740,SK네트웍스,0.04651938,10,2025-11-27
2026-09-23,011070,LG이노텍,0.04377994,11,2025-11-27
2026-09-23,069960,현대백화점,0.04308951,12,2025-11-27
2026-09-23,077970,STX엔진,0.04033625,13,2025-11-27
2026-09-23,015760,한국전력,0.03825714,14,2025-11-27
2026-09-23,012330,현대모비스,0.03646617,15,2025-11-27
2026-09-23,006650,대한유화,0.03606091,16,2025-11-27
2026-09-23,290650,엘앤씨바이오,0.03601143,17,2025-11-27
2026-09-23,005850,에스엘,0.03561026,18,2025-11-27
2026-09-23,017960,한국카본,0.03494721,19,2025-11-27
2026-09-23,006800,미래에셋증권,0.03469453,20,2025-11-27
2026-09-23,111770,영원무역,0.03394152,21,2025-11-27
2026-09-23,036460,한국가스공사,0.03391378,22,2025-11-27
2026-09-23,035900,JYP Ent.,0.03387251,23,2025-11-27
2026-09-23,005950,이수화학,0.03298781,24,2025-11-27
2026-09-23,0126Z0,삼성에피스홀딩스,0.03272040,25,2025-11-27
2026-09-23,087010,펩트론,0.03256824,26,2025-11-27
2026-09-23,213420,덕산네오룩스,0.03227406,27,2025-11-27
2026-09-23,214150,클래시스,0.03186112,28,2025-11-27
2026-09-23,137400,피엔티,0.03064192,29,2025-11-27
2026-09-23,466100,클로봇,0.03027866,30,2025-11-27
2026-09-23,017800,현대엘리베이터,0.02941623,31,2025-11-27
2026-09-23,456160,지투지바이오,0.02926534,32,2025-11-27
2026-09-23,078600,대주전자재료,0.02896461,33,2025-11-27
2026-09-23,181710,NHN,0.02890780,34,2025-11-27
2026-09-23,189300,인텔리안테크,0.02870034,35,2025-11-27
2026-09-23,034230,파라다이스,0.02837185,36,2025-11-27
2026-09-23,298380,에이비엘바이오,0.02780729,37,2025-11-27
2026-09-23,139480,이마트,0.02719327,38,2025-11-27
2026-09-23,226950,올릭스,0.02706805,39,2025-11-27
2026-09-23,178320,서진시스템,0.02576129,40,2025-11-27
2026-09-23,034220,LG디스플레이,0.02568799,41,2025-11-27
2026-09-23,105840,우진,0.02567186,42,2025-11-27
2026-09-23,090710,휴림로봇,0.02549108,43,2025-11-27
2026-09-23,326030,SK바이오팜,0.02546845,44,2025-11-27
2026-09-23,064260,다날,0.02527350,45,2025-11-27
2026-09-23,066970,엘앤에프,0.02480401,46,2025-11-27
2026-09-23,008770,호텔신라,0.02337463,47,2025-11-27
2026-09-23,097230,HJ중공업,0.02335223,48,2025-11-27
2026-09-23,007390,네이처셀,0.02247788,49,2025-11-27
2026-09-23,006110,삼아알미늄,0.02206278,50,2025-11-27
2026-09-23,347850,디앤디파마텍,0.02201005,51,2025-11-27
2026-09-23,064400,LG씨엔에스,0.02182260,52,2025-11-27
2026-09-23,489790,한화비전,0.02177974,53,2025-11-27
2026-09-23,457190,이수스페셜티케미컬,0.02088963,54,2025-11-27
2026-09-23,195940,HK이노엔,0.02082317,55,2025-11-27
2026-09-23,003530,한화투자증권,0.02023946,56,2025-11-27
2026-09-23,377300,카카오페이,0.01985342,57,2025-11-27
2026-09-23,458870,씨어스,0.01985186,58,2025-11-27
2026-09-23,030000,제일기획,0.01974542,59,2025-11-27
2026-09-23,322000,HD현대에너지솔루션,0.01937647,60,2025-11-27
2026-09-23,051600,한전KPS,0.01928256,61,2025-11-27
2026-09-23,018880,한온시스템,0.01913786,62,2025-11-27
2026-09-23,183300,코미코,0.01842900,63,2025-11-27
2026-09-23,108320,LX세미콘,0.01840341,64,2025-11-27
2026-09-23,023530,롯데쇼핑,0.01825722,65,2025-11-27
2026-09-23,005380,현대차,0.01783143,66,2025-11-27
2026-09-23,454910,두산로보틱스,0.01707077,67,2025-11-27
2026-09-23,004370,농심,0.01695972,68,2025-11-27
2026-09-23,086280,현대글로비스,0.01589824,69,2025-11-27
2026-09-23,036540,SFA반도체,0.01583371,70,2025-11-27
2026-09-23,139130,iM금융지주,0.01577743,71,2025-11-27
2026-09-23,082920,비츠로셀,0.01563562,72,2025-11-27
2026-09-23,196170,알테오젠,0.01557988,73,2025-11-27
2026-09-23,029780,삼성카드,0.01557279,74,2025-11-27
2026-09-23,009540,HD한국조선해양,0.01525198,75,2025-11-27
2026-09-23,096530,씨젠,0.01517624,76,2025-11-27
2026-09-23,241560,두산밥캣,0.01499820,77,2025-11-27
2026-09-23,011780,금호석유화학,0.01477622,78,2025-11-27
2026-09-23,083450,GST,0.01454752,79,2025-11-27
2026-09-23,310210,보로노이,0.01448903,80,2025-11-27
2026-09-23,007070,GS리테일,0.01420909,81,2025-11-27
2026-09-23,140860,파크시스템스,0.01380636,82,2025-11-27
2026-09-23,064350,현대로템,0.01372799,83,2025-11-27
2026-09-23,003230,삼양식품,0.01365462,84,2025-11-27
2026-09-23,097950,CJ제일제당,0.01293336,85,2025-11-27
2026-09-23,000270,기아,0.01289868,86,2025-11-27
2026-09-23,005940,NH투자증권,0.01277010,87,2025-11-27
2026-09-23,004990,롯데지주,0.01275898,88,2025-11-27
2026-09-23,088980,맥쿼리인프라,0.01270024,89,2025-11-27
2026-09-23,091580,상신이디피,0.01267623,90,2025-11-27
2026-09-23,207940,삼성바이오로직스,0.01184489,91,2025-11-27
2026-09-23,122870,와이지엔터테인먼트,0.01165594,92,2025-11-27
2026-09-23,204320,HL만도,0.01153445,93,2025-11-27
2026-09-23,023160,태광,0.01150772,94,2025-11-27
2026-09-23,323410,카카오뱅크,0.01148492,95,2025-11-27
2026-09-23,490470,세미파이브,0.01125981,96,2025-11-27
2026-09-23,267250,HD현대,0.01109770,97,2025-11-27
2026-09-23,016360,삼성증권,0.01069276,98,2025-11-27
2026-09-23,000250,삼천당제약,0.01061776,99,2025-11-27
2026-09-23,004800,효성,0.01059534,100,2025-11-27
2026-09-23,071970,HD현대마린엔진,0.01055910,101,2025-11-27
2026-09-23,041830,인바디,0.01044192,102,2025-11-27
2026-09-23,056080,유진로봇,0.01039245,103,2025-11-27
2026-09-23,035250,강원랜드,0.01029402,104,2025-11-27
2026-09-23,010130,고려아연,0.00996897,105,2025-11-27
2026-09-23,086520,에코프로,0.00980357,106,2025-11-27
2026-09-23,050890,쏠리드,0.00979503,107,2025-11-27
2026-09-23,241710,코스메카코리아,0.00957708,108,2025-11-27
2026-09-23,071050,한국금융지주,0.00946291,109,2025-11-27
2026-09-23,039490,키움증권,0.00918644,110,2025-11-27
2026-09-23,010060,OCI홀딩스,0.00847209,111,2025-11-27
2026-09-23,003690,코리안리,0.00842663,112,2025-11-27
2026-09-23,032640,LG유플러스,0.00835772,113,2025-11-27
2026-09-23,001120,LX인터내셔널,0.00803898,114,2025-11-27
2026-09-23,081660,미스토홀딩스,0.00782408,115,2025-11-27
2026-09-23,003380,하림지주,0.00726975,116,2025-11-27
2026-09-23,032830,삼성생명,0.00702749,117,2025-11-27
2026-09-23,018260,삼성에스디에스,0.00700719,118,2025-11-27
2026-09-23,175330,JB금융지주,0.00695168,119,2025-11-27
2026-09-23,214450,파마리서치,0.00677852,120,2025-11-27
2026-09-23,277810,레인보우로보틱스,0.00608964,121,2025-11-27
2026-09-23,010120,LS ELECTRIC,0.00597776,122,2025-11-27
2026-09-23,042660,한화오션,0.00568581,123,2025-11-27
2026-09-23,024110,기업은행,0.00568403,124,2025-11-27
2026-09-23,450080,에코프로머티,0.00565567,125,2025-11-27
2026-09-23,257720,실리콘투,0.00563476,126,2025-11-27
2026-09-23,005930,삼성전자,0.00551069,127,2025-11-27
2026-09-23,089970,브이엠,0.00541835,128,2025-11-27
2026-09-23,120110,코오롱인더,0.00518671,129,2025-11-27
2026-09-23,047040,대우건설,0.00489501,130,2025-11-27
2026-09-23,060250,NHN KCP,0.00487424,131,2025-11-27
2026-09-23,271560,오리온,0.00486344,132,2025-11-27
2026-09-23,445680,큐리옥스바이오시스템즈,0.00485351,133,2025-11-27
2026-09-23,329180,HD현대중공업,0.00481135,134,2025-11-27
2026-09-23,017670,SK텔레콤,0.00476406,135,2025-11-27
2026-09-23,005490,POSCO홀딩스,0.00448459,136,2025-11-27
2026-09-23,078930,GS,0.00445774,137,2025-11-27
2026-09-23,011170,롯데케미칼,0.00432414,138,2025-11-27
2026-09-23,035510,신세계 I&C,0.00404605,139,2025-11-27
2026-09-23,383220,F&F,0.00387738,140,2025-11-27
2026-09-23,028050,삼성E&A,0.00344105,141,2025-11-27
2026-09-23,356860,티엘비,0.00294251,142,2025-11-27
2026-09-23,035720,카카오,0.00211684,143,2025-11-27
2026-09-23,000210,DL,0.00208074,144,2025-11-27
2026-09-23,028260,삼성물산,0.00193716,145,2025-11-27
2026-09-23,282330,BGF리테일,0.00183159,146,2025-11-27
2026-09-23,012750,에스원,0.00177721,147,2025-11-27
2026-09-23,030200,KT,0.00171457,148,2025-11-27
2026-09-23,249420,일동제약,0.00164895,149,2025-11-27
2026-09-23,047810,한국항공우주,0.00136152,150,2025-11-27
2026-09-23,074600,원익QnC,0.00136028,151,2025-11-27
2026-09-23,034730,SK,0.00110106,152,2025-11-27
2026-09-23,141080,리가켐바이오,0.00049132,153,2025-11-27
2026-09-23,298020,효성티앤씨,0.00033641,154,2025-11-27
2026-09-23,267270,HD건설기계,0.00019853,155,2025-11-27
2026-09-23,039200,오스코텍,0.00010328,156,2025-11-27
2026-09-23,004020,현대제철,-0.00027536,157,2025-11-27
2026-09-23,048410,현대바이오,-0.00031384,158,2025-11-27
2026-09-23,082740,한화엔진,-0.00045753,159,2025-11-27
2026-09-23,278470,에이피알,-0.00046345,160,2025-11-27
2026-09-23,144960,뉴파워프라즈마,-0.00063665,161,2025-11-27
2026-09-23,009830,한화솔루션,-0.00073522,162,2025-11-27
2026-09-23,098460,고영,-0.00101591,163,2025-11-27
2026-09-23,086790,하나금융지주,-0.00115957,164,2025-11-27
2026-09-23,001040,CJ,-0.00120207,165,2025-11-27
2026-09-23,033780,KT&G,-0.00123919,166,2025-11-27
2026-09-23,006360,GS건설,-0.00137842,167,2025-11-27
2026-09-23,108490,로보티즈,-0.00139487,168,2025-11-27
2026-09-23,051910,LG화학,-0.00192734,169,2025-11-27
2026-09-23,352820,하이브,-0.00207992,170,2025-11-27
2026-09-23,161890,한국콜마,-0.00213466,171,2025-11-27
2026-09-23,079550,LIG디펜스앤에어로스페이스,-0.00229706,172,2025-11-27
2026-09-23,002380,KCC,-0.00236233,173,2025-11-27
2026-09-23,006400,삼성SDI,-0.00238867,174,2025-11-27
2026-09-23,010140,삼성중공업,-0.00273115,175,2025-11-27
2026-09-23,035420,NAVER,-0.00290604,176,2025-11-27
2026-09-23,033160,엠케이전자,-0.00323612,177,2025-11-27
2026-09-23,011790,SKC,-0.00371958,178,2025-11-27
2026-09-23,055550,신한지주,-0.00374586,179,2025-11-27
2026-09-23,089030,테크윙,-0.00384131,180,2025-11-27
2026-09-23,003550,LG,-0.00393915,181,2025-11-27
2026-09-23,298040,효성중공업,-0.00404171,182,2025-11-27
