date,ticker,p20,p60,rank20,rank60,train_cutoff20,train_cutoff60
2026-09-21,000100,0.03448398446993854,0.03537523051341313,58,54,2025-11-27,2025-10-28
2026-09-21,000120,0.043490356919421484,0.055242476240390054,23,16,2025-11-27,2025-10-28
2026-09-21,000150,-0.045486343804423526,-0.028872043166464592,316,293,2025-11-27,2025-10-28
2026-09-21,000210,0.015492857791973562,0.009744737712273837,154,151,2025-11-27,2025-10-28
2026-09-21,000250,0.013450131426050395,0.025179457942083986,164,82,2025-11-27,2025-10-28
2026-09-21,000270,0.026789639137329638,0.01717428089616099,95,118,2025-11-27,2025-10-28
2026-09-21,000370,-0.025876756396190585,-0.014726102344024281,290,242,2025-11-27,2025-10-28
2026-09-21,000500,-0.07888178640048306,-0.19309203339595396,334,346,2025-11-27,2025-10-28
2026-09-21,000660,0.046174705860686435,0.03426278864796688,13,56,2025-11-27,2025-10-28
2026-09-21,000670,-0.018340309373316495,-0.0021088842649343896,267,200,2025-11-27,2025-10-28
2026-09-21,000720,-0.015175447452476086,-0.006232298070989893,262,221,2025-11-27,2025-10-28
2026-09-21,000810,0.01918193452473681,-0.026033254407300786,132,285,2025-11-27,2025-10-28
2026-09-21,000880,-0.0037768522005955066,-0.016720675402903777,231,254,2025-11-27,2025-10-28
2026-09-21,000990,-0.08889067049183709,-0.010876673372947239,338,232,2025-11-27,2025-10-28
2026-09-21,001040,0.02988891127641083,0.04440855790544115,79,29,2025-11-27,2025-10-28
2026-09-21,001120,0.03322292316022169,0.03282580269669552,64,60,2025-11-27,2025-10-28
2026-09-21,001430,-0.006429488915978919,0.015037846920391217,237,130,2025-11-27,2025-10-28
2026-09-21,001440,-0.00989121515488142,0.015988732881324387,248,126,2025-11-27,2025-10-28
2026-09-21,001450,0.005161666720689503,-0.029321017169236376,192,294,2025-11-27,2025-10-28
2026-09-21,001740,0.02406722708765256,-0.004333360701194624,106,206,2025-11-27,2025-10-28
2026-09-21,001820,-0.06833930179736857,-0.12487390179549926,328,343,2025-11-27,2025-10-28
2026-09-21,002380,0.024352433077211324,0.01533757352969333,104,128,2025-11-27,2025-10-28
